,lb,ub,interval width,coverage,estimator,$n_{human}$,effective sample size
0,0.29532352172713305,0.37856709215276907,0.08324357042563602,True,confidence-driven,400.0,511.7188571890783
1,0.331834610034981,0.421165389965019,0.08933077993003802,True,human + LLM (non-adaptive),400.0,449.8249685566428
2,0.33126678705436147,0.42873321294563854,0.09746642589127708,True,human only,400.0,382.8368208424425
3,0.3725563977818919,0.4084436022181081,0.03588720443621618,False,LLM only,400.0,0.0
4,0.30530466838989506,0.3880393963358229,0.08273472794592784,True,confidence-driven,400.0,517.4429525331201
5,0.4057439717673289,0.4972560282326711,0.09151205646534222,False,human + LLM (non-adaptive),400.0,430.282149175901
6,0.35010911929252225,0.4498908807074778,0.09978176141495554,True,human only,400.0,366.43775303618054
7,0.3641294393419089,0.3998705606580911,0.035741121316182234,False,LLM only,400.0,0.0
8,0.3269316772340503,0.40846019213484824,0.08152851490079793,True,confidence-driven,400.0,531.3878987261116
9,0.3230199563600956,0.4149800436399044,0.09196008727980876,True,human + LLM (non-adaptive),400.0,426.42160221124993
10,0.29838972672955627,0.3916102732704437,0.0932205465408874,True,human only,400.0,415.8277160115556
11,0.368590053373023,0.40440994662697705,0.03581989325395407,False,LLM only,400.0,0.0
12,0.3097622038587013,0.3975830448105528,0.0878208409518515,True,confidence-driven,400.0,464.1190337160154
13,0.302517254280014,0.39548274571998593,0.0929654914399719,True,human + LLM (non-adaptive),400.0,417.9401685653421
14,0.34775175963101324,0.4472482403689868,0.09949648073797357,True,human only,400.0,368.4021665823262
15,0.368590053373023,0.40440994662697705,0.03581989325395407,False,LLM only,400.0,0.0
16,0.327426083143115,0.4119901649802848,0.08456408183716979,True,confidence-driven,400.0,497.28543310766105
17,0.29140478838742834,0.3815952116125717,0.09019042322514337,True,human + LLM (non-adaptive),400.0,441.9717018741712
18,0.27031905668538514,0.35968094331461486,0.08936188662922973,False,human only,400.0,449.53726302786396
19,0.3730522800647862,0.40894771993521384,0.03589543987042765,False,LLM only,400.0,0.0
20,0.2958279557169772,0.38095203818730417,0.08512408247032699,True,confidence-driven,400.0,491.3423973823265
21,0.3717093981886024,0.4612906018113976,0.0895812036227952,False,human + LLM (non-adaptive),400.0,447.51638478661226
22,0.3242109555936837,0.4207890444063163,0.09657808881263263,True,human only,400.0,389.41466310710024
23,0.3705730667581335,0.4064269332418665,0.03585386648373301,False,LLM only,400.0,0.0
24,0.3075012922883284,0.3937033860352484,0.08620209374692,True,confidence-driven,400.0,480.18863378093715
25,0.2773455020888531,0.3706544979111469,0.0933089958222938,True,human + LLM (non-adaptive),400.0,415.0987871871307
26,0.307769853286185,0.40223014671381496,0.09446029342762996,True,human only,400.0,405.7784651907272
27,0.3765240092276683,0.4124759907723317,0.03595198154466339,False,LLM only,400.0,0.0
28,0.3297872251338791,0.4132420435351187,0.08345481840123958,True,confidence-driven,400.0,509.3694054485999
29,0.32565772358930073,0.41734227641069926,0.09168455282139854,True,human + LLM (non-adaptive),400.0,428.7897898143123
30,0.32186027372735254,0.41813972627264745,0.09627945254529491,True,human only,400.0,391.663108969682
31,0.379004406747493,0.41499559325250707,0.035991186505014094,False,LLM only,400.0,0.0
32,0.3256802888258492,0.41386058620870536,0.08818029738285615,True,confidence-driven,400.0,460.6568750715348
33,0.29901898208840666,0.3889810179115933,0.08996203582318663,True,human + LLM (non-adaptive),400.0,444.038536640867
34,0.29136202068946915,0.3836379793105309,0.09227595862106175,True,human only,400.0,423.73011912714543
35,0.38793788935971957,0.4240621106402805,0.03612422128056092,False,LLM only,400.0,0.0
36,0.30348896648042295,0.3875908693989451,0.08410190291852215,True,confidence-driven,400.0,502.2692057478506
37,0.3341742076509979,0.4238257923490021,0.08965158469800416,True,human + LLM (non-adaptive),400.0,446.8706674589028
38,0.30073371690115747,0.3942662830988425,0.09353256619768502,True,human only,400.0,413.2645913667482
39,0.3874414191574626,0.42355858084253745,0.03611716168507484,False,LLM only,400.0,0.0
40,0.30206565902734733,0.38650438871036125,0.08443872968301391,True,confidence-driven,400.0,498.63001785951207
41,0.33093506431091907,0.42206493568908093,0.09112987137816186,True,human + LLM (non-adaptive),400.0,433.6157290802557
42,0.28902089783676743,0.3809791021632326,0.09195820432646518,True,human only,400.0,426.43772119241913
43,0.39737449853278883,0.4336255014672111,0.036251002934422294,False,LLM only,400.0,0.0
44,0.32464757765611363,0.4138461884905702,0.08919861083445657,True,confidence-driven,400.0,451.05039305444967
45,0.29988301200782985,0.3931169879921701,0.09323397598434024,True,human + LLM (non-adaptive),400.0,415.7169209598053
