,lb,ub,interval width,coverage,estimator,$n_{human}$,effective sample size
0,-0.11560815753221998,0.753373566193739,0.8689817237259589,True,human + LLM (confidence),273.0,941.0769627220285
1,-0.51858422237769,1.2112677478592841,1.7298519702369741,True,human + LLM (uniform),273.0,237.4808234385409
2,-0.27721427897330897,1.4313641344396144,1.7085784134129234,True,human only,273.0,243.43140016631168
3,-0.11178370668742017,0.3016002626372346,0.41338396932465477,True,LLM only,273.0,0.0
4,-0.3424218742571685,0.4311813835023208,0.7736032577594893,True,human + LLM (confidence),273.0,1187.4350042995839
5,-0.7741997746662079,0.7670323745093455,1.5412321491755534,True,human + LLM (uniform),273.0,299.16467283377176
6,-0.1878512716282521,1.5221935264655735,1.7100447980938256,True,human only,273.0,243.01408826210314
7,-0.31530227821730383,0.10358136078844617,0.41888363900575,False,LLM only,273.0,0.0
8,-0.20559165594649656,0.5511558676815187,0.7567475236280152,True,human + LLM (confidence),273.0,1240.9217891147102
9,-0.6398867631291087,1.0824973325755924,1.7223840957047012,True,human + LLM (uniform),273.0,239.544615944151
10,-0.5072303238338456,1.2426798800791703,1.7499102039130159,True,human only,273.0,232.06780796725832
11,-0.17247599208466452,0.25001921103750124,0.42249520312216576,True,LLM only,273.0,0.0
12,-0.27417081899657425,0.49902905464089997,0.7731998736374742,True,human + LLM (confidence),273.0,1188.674314832216
13,-0.3456705978337938,1.0383541231629685,1.3840247209967622,True,human + LLM (uniform),273.0,370.9870349482883
14,-0.21924070655934869,1.414344140549877,1.6335848471092256,True,human only,273.0,266.295013782203
15,-0.1550463268718021,0.28285924065907586,0.43790556753087795,True,LLM only,273.0,0.0
16,-0.2586333225848008,0.5641632096506035,0.8227965322354043,True,human + LLM (confidence),273.0,1049.6911168295574
17,-0.04950156818501528,1.17411238719135,1.2236139553763652,True,human + LLM (uniform),273.0,474.63262180464557
18,-0.11723919150134132,1.5851769941822398,1.702416185683581,True,human only,273.0,245.1968846026543
19,-0.16775489330992105,0.24570795836306475,0.4134628516729858,True,LLM only,273.0,0.0
20,-0.6076213310316843,0.24739578459148198,0.8550171156231663,True,human + LLM (confidence),273.0,972.0683663786548
21,-0.3949195889493101,1.3390592640416892,1.7339788529909992,True,human + LLM (uniform),273.0,236.35175633000983
22,-0.7634004562543547,0.7634004562543547,1.5268009125087094,True,human only,273.0,304.8467754260112
23,-0.39021848425129746,0.0103390192126038,0.4005575034639013,False,LLM only,273.0,0.0
24,-0.3264401911788414,0.5350484712925002,0.8614886624713416,True,human + LLM (confidence),273.0,957.5187666152627
25,-0.7252711632053569,0.8118441432306015,1.5371153064359584,True,human + LLM (uniform),273.0,300.76931916917965
26,-0.9399923297712629,0.5081688588688877,1.4481611886401506,True,human only,273.0,338.85400199792684
27,-0.23856282081336538,0.15389788453339776,0.39246070534676314,True,LLM only,273.0,0.0
28,-0.4414900839879529,0.3817512360987578,0.8232413200867107,True,human + LLM (confidence),273.0,1048.5571510837142
29,-2.1886513501119422,0.3677696279261804,2.5564209780381226,True,human + LLM (uniform),273.0,108.73808536764204
30,-1.1757956164700476,0.783810491227978,1.9596061076980256,True,human only,273.0,185.05842363391753
31,-0.12273946710096385,0.2848581392574023,0.4075976063583661,True,LLM only,273.0,0.0
32,-0.2449061195402051,0.5916746976431696,0.8365808171833747,True,human + LLM (confidence),273.0,1015.384719131558
33,-0.4250610806156961,0.9614120512332958,1.3864731318489918,True,human + LLM (uniform),273.0,369.6779195528062
34,-0.6219506226261098,0.9200645077160945,1.5420151303422043,True,human only,273.0,298.8609393224137
35,-0.10362340294722346,0.32811507997698325,0.4317384829242067,True,LLM only,273.0,0.0
36,-0.0912502051689022,0.7478629205074083,0.8391131256763105,True,human + LLM (confidence),273.0,1009.2654309603163
37,-1.3021059174029745,0.6903901325930966,1.992496049996071,True,human + LLM (uniform),273.0,178.999364460259
38,-0.9786022305628804,0.9858741959938427,1.9644764265567232,True,human only,273.0,184.14196948104362
39,-0.12442310899360294,0.28286705744825325,0.40729016644185617,True,LLM only,273.0,0.0
40,0.3667969427885206,1.1977308389767205,0.8309338961881999,False,human + LLM (confidence),273.0,1029.2324641647474
41,-0.3332483160034933,1.0572475766517269,1.3904958926552202,True,human + LLM (uniform),273.0,367.5420273204503
42,-0.4715480402529882,1.1214017221655297,1.5929497624185178,True,human only,273.0,280.05431482666495
43,-0.32899187802387303,0.06292831161027701,0.39192018963415004,False,LLM only,273.0,0.0
44,0.07039144798327968,0.8587438193954785,0.7883523714121988,True,human + LLM (confidence),273.0,1143.4197003312674
45,-0.01521347659606298,1.202434353321345,1.217647829917408,True,human + LLM (uniform),273.0,479.2951440901283
46,-0.1960374016215689,1.3765015880147666,1.5725389896363355,True,human only,273.0,287.3714258834153
47,-0.2342295142705153,0.17098026658362842,0.4052097808541437,True,LLM only,273.0,0.0
48,-0.05284421044666532,0.783962826571192,0.8368070370178573,True,human + LLM (confidence),273.0,1014.8358013889448
49,-0.5483464223705925,1.1784592135378873,1.7268056359084798,True,human + LLM (uniform),273.0,238.31946341202698
50,-1.0971613673608038,0.3225467653392451,1.419708132700049,True,human only,273.0,352.57237966302296
51,-0.3954571253555471,-0.0038522162287461525,0.39160490912680096,False,LLM only,273.0,0.0
52,-0.04576401078856723,0.740956659978433,0.7867206707670003,True,human + LLM (confidence),273.0,1148.1676459037838
53,-0.7731618718001021,1.0787242670104673,1.8518861388105694,True,human + LLM (uniform),273.0,207.21341352944498
54,-0.35777118542492453,1.2645807605050856,1.6223519459300102,True,human only,273.0,269.9953466232787
55,-0.058673323935169025,0.35669875125983597,0.41537207519500496,True,LLM only,273.0,0.0
