,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,599.3542810714898,1.1987085621429796
1,human + LLM (uniform),True,629.1697847406197,1.2583395694812394
2,human only,True,522.4110831290949,1.0448221662581898
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,644.9707550315143,1.2899415100630285
5,human + LLM (uniform),True,612.3105358645506,1.2246210717291013
6,human only,True,464.43474217688254,0.928869484353765
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,610.5771787135801,1.2211543574271602
9,human + LLM (uniform),False,577.2941519111088,1.1545883038222176
10,human only,True,490.4136196967176,0.9808272393934352
11,LLM only,False,0.0,0.0
12,human + LLM (confidence),True,632.7160807807604,1.265432161561521
13,human + LLM (uniform),False,579.5422875563784,1.1590845751127568
14,human only,True,510.4511073809446,1.0209022147618891
15,LLM only,False,0.0,0.0
16,human + LLM (confidence),True,632.5973993128937,1.2651947986257874
17,human + LLM (uniform),True,646.9874617922201,1.2939749235844402
18,human only,False,574.2882586645654,1.148576517329131
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,665.6698982698528,1.3313397965397056
21,human + LLM (uniform),True,670.6997172859191,1.341399434571838
22,human only,True,517.5517048477193,1.0351034096954386
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,694.3511540626572,1.3887023081253145
25,human + LLM (uniform),True,578.06951761092,1.15613903522184
26,human only,True,466.3207790275936,0.9326415580551871
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,632.6703237730783,1.2653406475461566
29,human + LLM (uniform),True,642.5365489582243,1.2850730979164486
30,human only,True,548.3407205714515,1.096681441142903
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,688.0643340694835,1.376128668138967
33,human + LLM (uniform),True,559.9123285092576,1.119824657018515
34,human only,True,460.71500996210665,0.9214300199242133
35,LLM only,False,0.0,0.0
36,human + LLM (confidence),True,665.6507341587927,1.3313014683175854
37,human + LLM (uniform),True,602.1561941755849,1.20431238835117
38,human only,True,496.89145313339327,0.9937829062667866
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,660.408611871582,1.3208172237431641
41,human + LLM (uniform),True,549.8524724204062,1.0997049448408125
42,human only,True,457.0634956665395,0.914126991333079
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,679.3998675196997,1.3587997350393994
45,human + LLM (uniform),True,599.1630859209891,1.1983261718419782
46,human only,True,527.3747023310218,1.0547494046620436
47,LLM only,False,0.0,0.0
48,human + LLM (confidence),True,602.2654375289762,1.2045308750579524
49,human + LLM (uniform),False,624.408303474142,1.248816606948284
50,human only,True,490.41361969671755,0.9808272393934351
51,LLM only,False,0.0,0.0
52,human + LLM (confidence),True,650.5852138595717,1.3011704277191434
53,human + LLM (uniform),True,634.6175513752113,1.2692351027504225
54,human only,True,540.2621179225591,1.0805242358451184
55,LLM only,False,0.0,0.0
56,human + LLM (confidence),True,649.2784852458713,1.2985569704917426
57,human + LLM (uniform),True,557.2016643107604,1.114403328621521
58,human only,False,434.87127532584486,0.8697425506516897
59,LLM only,False,0.0,0.0
60,human + LLM (confidence),True,634.39043166539,1.26878086333078
61,human + LLM (uniform),True,614.9027023231986,1.229805404646397
62,human only,True,508.1329692857694,1.0162659385715387
63,LLM only,False,0.0,0.0
64,human + LLM (confidence),True,587.196944223451,1.174393888446902
65,human + LLM (uniform),True,555.5552212743055,1.111110442548611
66,human only,True,510.4511073809445,1.020902214761889
67,LLM only,False,0.0,0.0
68,human + LLM (confidence),True,710.3024102808079,1.4206048205616157
69,human + LLM (uniform),True,616.6432509200579,1.2332865018401158
70,human only,True,532.4459079788837,1.0648918159577674
71,LLM only,False,0.0,0.0
72,human + LLM (confidence),True,673.7079591250507,1.3474159182501013
73,human + LLM (uniform),False,615.9044081014475,1.231808816202895
74,human only,True,522.4110831290949,1.0448221662581898
75,LLM only,False,0.0,0.0
76,human + LLM (confidence),True,623.2794847911233,1.2465589695822465
77,human + LLM (uniform),True,599.5722346314002,1.1991444692628004
78,human only,True,476.02254032875544,0.9520450806575109
79,LLM only,False,0.0,0.0
80,human + LLM (confidence),True,641.5330883745426,1.2830661767490852
81,human + LLM (uniform),True,643.7116396934513,1.2874232793869025
82,human only,True,508.1329692857694,1.0162659385715387
83,LLM only,False,0.0,0.0
