,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,824.7128216878505,1.6494256433757009
1,human + LLM (uniform),True,845.5854849271648,1.6911709698543296
2,human only,True,481.7150382902682,0.9634300765805364
3,LLM only,True,0.0,0.0
4,human + LLM (confidence),True,796.32190142933,1.5926438028586598
5,human + LLM (uniform),True,891.6290917853444,1.7832581835706887
6,human only,True,510.6647528265603,1.0213295056531206
7,LLM only,True,0.0,0.0
8,human + LLM (confidence),True,794.7099288960374,1.5894198577920746
9,human + LLM (uniform),True,805.8765358156417,1.6117530716312833
10,human only,True,505.95534003985466,1.0119106800797093
11,LLM only,True,0.0,0.0
12,human + LLM (confidence),True,802.2483572611944,1.604496714522389
13,human + LLM (uniform),True,735.0827307966051,1.4701654615932103
14,human only,True,475.55457835680215,0.9511091567136043
15,LLM only,True,0.0,0.0
16,human + LLM (confidence),True,753.0682584555674,1.5061365169111347
17,human + LLM (uniform),True,755.3258245164068,1.5106516490328135
18,human only,True,513.0568641477121,1.0261137282954242
19,LLM only,True,0.0,0.0
20,human + LLM (confidence),True,814.1825670093957,1.6283651340187915
21,human + LLM (uniform),True,827.0356448709684,1.654071289741937
22,human only,True,458.1092065007987,0.9162184130015973
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,800.0698245652469,1.6001396491304938
25,human + LLM (uniform),True,779.8675313116505,1.559735062623301
26,human only,True,463.7589055383302,0.9275178110766604
27,LLM only,True,0.0,0.0
28,human + LLM (confidence),True,710.0194876477062,1.4200389752954126
29,human + LLM (uniform),True,770.676303677729,1.541352607355458
30,human only,True,503.63727298732533,1.0072745459746506
31,LLM only,True,0.0,0.0
32,human + LLM (confidence),True,895.3290606365798,1.7906581212731596
33,human + LLM (uniform),True,773.0855683299983,1.5461711366599966
34,human only,True,483.80933442543716,0.9676186688508743
35,LLM only,True,0.0,0.0
36,human + LLM (confidence),True,778.9609074151816,1.5579218148303633
37,human + LLM (uniform),True,758.9545419786494,1.5179090839572988
38,human only,True,538.4477742746187,1.0768955485492375
39,LLM only,True,0.0,0.0
40,human + LLM (confidence),False,873.8194123579544,1.747638824715909
41,human + LLM (uniform),True,863.6788494059783,1.7273576988119566
42,human only,False,557.9755884182955,1.115951176836591
43,LLM only,True,0.0,0.0
44,human + LLM (confidence),True,804.1361681334856,1.6082723362669713
45,human + LLM (uniform),True,864.2452907640882,1.7284905815281764
46,human only,True,505.95534003985466,1.0119106800797093
47,LLM only,True,0.0,0.0
48,human + LLM (confidence),True,884.0576029082906,1.7681152058165812
49,human + LLM (uniform),True,808.5779583565666,1.617155916713133
50,human only,True,490.21890432201116,0.9804378086440223
51,LLM only,True,0.0,0.0
52,human + LLM (confidence),True,704.4731245670549,1.4089462491341098
53,human + LLM (uniform),True,874.0285184322004,1.7480570368644008
54,human only,True,515.474435898906,1.030948871797812
55,LLM only,True,0.0,0.0
56,human + LLM (confidence),True,810.2578200346273,1.6205156400692546
57,human + LLM (uniform),True,815.828944524797,1.6316578890495939
58,human only,True,533.1453122080496,1.0662906244160992
59,LLM only,True,0.0,0.0
60,human + LLM (confidence),True,842.9359769113864,1.6858719538227729
61,human + LLM (uniform),True,844.9562038416551,1.6899124076833103
62,human only,True,481.7150382902682,0.9634300765805364
63,LLM only,True,0.0,0.0
64,human + LLM (confidence),True,781.1059369444318,1.5622118738888637
65,human + LLM (uniform),True,795.6003715992058,1.5912007431984116
66,human only,True,517.9178713231322,1.0358357426462643
67,LLM only,True,0.0,0.0
68,human + LLM (confidence),True,797.9531145855024,1.5959062291710047
69,human + LLM (uniform),False,808.4087872871254,1.6168175745742508
70,human only,True,510.6647528265604,1.0213295056531209
71,LLM only,True,0.0,0.0
72,human + LLM (confidence),True,725.3580956863972,1.4507161913727944
73,human + LLM (uniform),True,848.2636472502235,1.696527294500447
74,human only,True,501.3431347804551,1.0026862695609102
75,LLM only,True,0.0,0.0
76,human + LLM (confidence),True,850.7896287966494,1.7015792575932986
77,human + LLM (uniform),True,767.687147164369,1.535374294328738
78,human only,True,471.546721027415,0.94309344205483
79,LLM only,True,0.0,0.0
80,human + LLM (confidence),True,816.2914068287974,1.6325828136575948
81,human + LLM (uniform),True,778.45283882461,1.55690567764922
82,human only,True,527.9586195031691,1.055917239006338
83,LLM only,True,0.0,0.0
84,human + LLM (confidence),True,779.0801783733187,1.5581603567466376
85,human + LLM (uniform),True,779.3322323045043,1.5586644646090084
86,human only,True,501.3431347804551,1.0026862695609102
87,LLM only,True,0.0,0.0
88,human + LLM (confidence),True,880.5837605273583,1.7611675210547166
89,human + LLM (uniform),True,825.0160709416551,1.6500321418833102
90,human only,True,501.343134780455,1.00268626956091
91,LLM only,True,0.0,0.0
92,human + LLM (confidence),True,829.7290725083378,1.6594581450166757
93,human + LLM (uniform),True,766.7264107107019,1.5334528214214038
94,human only,True,461.8578888298602,0.9237157776597203
95,LLM only,True,0.0,0.0
96,human + LLM (confidence),True,753.7887550868641,1.507577510173728
