,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,592.8532994799825,1.185706598959965
1,human + LLM (uniform),True,560.1855129586544,1.1203710259173087
2,human only,True,494.39694870802856,0.9887938974160572
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,614.9070568048097,1.2298141136096195
5,human + LLM (uniform),True,514.1429363650202,1.0282858727300404
6,human only,False,447.0795857392758,0.8941591714785516
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,613.9107334796302,1.2278214669592602
9,human + LLM (uniform),True,555.9128394884448,1.1118256789768894
10,human only,True,501.1379718904632,1.0022759437809263
11,LLM only,False,0.0,0.0
12,human + LLM (confidence),True,605.4345015612557,1.2108690031225116
13,human + LLM (uniform),True,533.5143242499809,1.0670286484999618
14,human only,True,510.4576655964967,1.0209153311929935
15,LLM only,False,0.0,0.0
16,human + LLM (confidence),True,616.1494815830798,1.2322989631661596
17,human + LLM (uniform),True,537.7630509487664,1.0755261018975326
18,human only,True,501.1379718904632,1.0022759437809263
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,652.4916710887003,1.3049833421774006
21,human + LLM (uniform),True,548.9915037481786,1.0979830074963572
22,human only,True,520.1785321887486,1.040357064377497
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,629.650186049518,1.259300372099036
25,human + LLM (uniform),True,513.3489388092687,1.0266978776185374
26,human only,True,508.0911045351706,1.0161822090703412
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,590.5852682339965,1.1811705364679932
29,human + LLM (uniform),True,561.5667088943572,1.1231334177887144
30,human only,False,440.1802910189199,0.8803605820378397
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,610.799713106213,1.221599426212426
33,human + LLM (uniform),True,539.9096623452083,1.0798193246904166
34,human only,True,498.8678739453472,0.9977357478906944
35,LLM only,False,0.0,0.0
36,human + LLM (confidence),True,615.4517907365212,1.2309035814730422
37,human + LLM (uniform),True,518.8866288413647,1.0377732576827292
38,human only,True,465.4806151822757,0.9309612303645514
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,596.9622376581632,1.1939244753163263
41,human + LLM (uniform),True,535.2673139422493,1.0705346278844987
42,human only,True,471.3479834205632,0.9426959668411264
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,551.5912398906636,1.1031824797813272
45,human + LLM (uniform),True,595.572594174401,1.191145188348802
46,human only,True,487.8586047919607,0.9757172095839214
47,LLM only,False,0.0,0.0
48,human + LLM (confidence),True,545.8072601751643,1.0916145203503285
49,human + LLM (uniform),False,510.24419460303693,1.0204883892060739
50,human only,True,465.4806151822757,0.9309612303645514
51,LLM only,False,0.0,0.0
52,human + LLM (confidence),True,569.9705627977912,1.1399411255955825
53,human + LLM (uniform),True,550.3347647499911,1.1006695294999822
54,human only,True,522.6744425952162,1.0453488851904325
55,LLM only,False,0.0,0.0
