,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,2159.9585917510694,4.319917183502139
1,human + LLM (uniform),True,461.3148891972984,0.9226297783945968
2,human only,True,562.081821676392,1.124163643352784
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,2146.522952396599,4.293045904793198
5,human + LLM (uniform),True,399.5796733601384,0.7991593467202768
6,human only,False,443.02505183860427,0.8860501036772085
7,LLM only,True,0.0,0.0
8,human + LLM (confidence),True,2095.5852629551828,4.1911705259103655
9,human + LLM (uniform),True,353.96169398963536,0.7079233879792707
10,human only,True,428.82354110054274,0.8576470822010854
11,LLM only,True,0.0,0.0
12,human + LLM (confidence),True,1948.9233624196931,3.897846724839386
13,human + LLM (uniform),True,432.11718916985666,0.8642343783397133
14,human only,True,478.5731352229068,0.9571462704458136
15,LLM only,True,0.0,0.0
16,human + LLM (confidence),True,2228.6593173001384,4.457318634600277
17,human + LLM (uniform),True,415.27794730646985,0.8305558946129397
18,human only,True,430.8577199324742,0.8617154398649484
19,LLM only,True,0.0,0.0
20,human + LLM (confidence),False,2013.3188076497127,4.026637615299426
21,human + LLM (uniform),True,414.392180641354,0.828784361282708
22,human only,True,483.4854897536178,0.9669709795072357
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,2092.317788943724,4.184635577887447
25,human + LLM (uniform),True,398.17000238023974,0.7963400047604795
26,human only,True,434.9225948370612,0.8698451896741224
27,LLM only,True,0.0,0.0
28,human + LLM (confidence),True,2027.9714368929535,4.055942873785907
29,human + LLM (uniform),True,418.6218626215743,0.8372437252431486
30,human only,True,417.33759733480093,0.8346751946696018
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,2126.00258425943,4.25200516851886
33,human + LLM (uniform),True,295.2212277878978,0.5904424555757957
34,human only,True,455.6321203700716,0.9112642407401432
35,LLM only,True,0.0,0.0
36,human + LLM (confidence),True,2264.409050709832,4.528818101419664
37,human + LLM (uniform),True,355.74219938752924,0.7114843987750585
38,human only,False,468.69039483771127,0.9373807896754225
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,2113.6801039297425,4.227360207859485
41,human + LLM (uniform),True,413.248370225992,0.826496740451984
42,human only,True,483.96411003304394,0.9679282200660879
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,2054.3896076464625,4.108779215292925
45,human + LLM (uniform),True,499.5354843512849,0.9990709687025697
46,human only,True,550.7726197100955,1.101545239420191
47,LLM only,True,0.0,0.0
48,human + LLM (confidence),True,2046.7645767670783,4.093529153534156
49,human + LLM (uniform),True,632.8124280069964,1.2656248560139927
50,human only,True,470.1451807885611,0.9402903615771222
51,LLM only,False,0.0,0.0
52,human + LLM (confidence),True,2110.3285822731195,4.220657164546239
53,human + LLM (uniform),True,543.7431693857499,1.0874863387714997
54,human only,True,622.3369648780242,1.2446739297560485
55,LLM only,True,0.0,0.0
56,human + LLM (confidence),True,2034.5080034850887,4.069016006970178
57,human + LLM (uniform),True,553.1915241914774,1.1063830483829546
58,human only,True,601.4423401476979,1.2028846802953959
59,LLM only,True,0.0,0.0
60,human + LLM (confidence),True,2286.451693999909,4.572903387999818
61,human + LLM (uniform),True,536.1844969473963,1.0723689938947925
62,human only,True,442.2702040470035,0.884540408094007
63,LLM only,False,0.0,0.0
64,human + LLM (confidence),True,2033.011016631906,4.0660220332638115
65,human + LLM (uniform),True,328.3105713915627,0.6566211427831253
66,human only,True,469.5300603152225,0.939060120630445
67,LLM only,True,0.0,0.0
68,human + LLM (confidence),True,2123.654325662949,4.2473086513258975
69,human + LLM (uniform),True,537.6793322914679,1.0753586645829356
70,human only,True,480.68817396451925,0.9613763479290385
71,LLM only,False,0.0,0.0
72,human + LLM (confidence),True,2290.7767320986445,4.581553464197289
73,human + LLM (uniform),True,354.9703449162362,0.7099406898324724
74,human only,True,451.54913592174984,0.9030982718434997
75,LLM only,True,0.0,0.0
76,human + LLM (confidence),True,2043.8389664873796,4.087677932974759
77,human + LLM (uniform),True,297.2388873894085,0.594477774778817
78,human only,True,403.4894221027063,0.8069788442054127
79,LLM only,True,0.0,0.0
80,human + LLM (confidence),True,2025.0799801069452,4.0501599602138905
81,human + LLM (uniform),True,267.3786212267798,0.5347572424535596
82,human only,True,524.996587469053,1.049993174938106
83,LLM only,False,0.0,0.0
84,human + LLM (confidence),False,2060.530943687599,4.121061887375198
85,human + LLM (uniform),True,378.5013778208004,0.7570027556416009
86,human only,False,486.31621431913334,0.9726324286382667
87,LLM only,False,0.0,0.0
88,human + LLM (confidence),True,2004.2043611863405,4.008408722372681
89,human + LLM (uniform),True,496.03669417439454,0.9920733883487891
90,human only,True,443.0573828078156,0.8861147656156312
91,LLM only,True,0.0,0.0
92,human + LLM (confidence),False,2177.7308755225426,4.355461751045086
93,human + LLM (uniform),True,378.73553474226236,0.7574710694845247
94,human only,True,423.9929184801848,0.8479858369603697
95,LLM only,True,0.0,0.0
96,human + LLM (confidence),True,2161.6963376863155,4.323392675372631
97,human + LLM (uniform),True,415.3773561417327,0.8307547122834654
98,human only,False,452.1438581859486,0.9042877163718972
99,LLM only,False,0.0,0.0
100,human + LLM (confidence),True,2134.9456294363167,4.269891258872634
101,human + LLM (uniform),True,407.9514384988557,0.8159028769977114
102,human only,True,437.98697318338253,0.8759739463667651
103,LLM only,True,0.0,0.0
104,human + LLM (confidence),True,2039.5412056738153,4.07908241134763
105,human + LLM (uniform),True,453.09774724798893,0.9061954944959779
106,human only,True,549.9417810000359,1.0998835620000718
107,LLM only,False,0.0,0.0
108,human + LLM (confidence),True,1970.9899294586382,3.9419798589172763
109,human + LLM (uniform),True,353.9989797232365,0.707997959446473
110,human only,True,540.503481908811,1.0810069638176218
111,LLM only,False,0.0,0.0
112,human + LLM (confidence),True,2005.383113750866,4.0107662275017315
113,human + LLM (uniform),True,394.4884515354513,0.7889769030709026
114,human only,True,524.61799621714,1.04923599243428
115,LLM only,True,0.0,0.0
116,human + LLM (confidence),True,2072.4846640678184,4.144969328135637
117,human + LLM (uniform),True,384.6471978743149,0.7692943957486298
118,human only,True,389.1640987445737,0.7783281974891474
119,LLM only,True,0.0,0.0
120,human + LLM (confidence),True,1997.2496528008153,3.9944993056016305
121,human + LLM (uniform),True,699.5286095917102,1.3990572191834203
122,human only,False,633.6011121677926,1.2672022243355852
123,LLM only,False,0.0,0.0
124,human + LLM (confidence),True,2263.7183022059216,4.527436604411843
125,human + LLM (uniform),True,383.31289076662074,0.7666257815332415
