,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,671.7379098590458,1.3434758197180916
1,human + LLM (uniform),True,373.81491920088484,0.7476298384017697
2,human only,True,493.84450686800653,0.987689013736013
3,LLM only,True,0.0,0.0
4,human + LLM (confidence),True,685.1129077024822,1.3702258154049642
5,human + LLM (uniform),False,489.7175739739839,0.9794351479479678
6,human only,False,500.10317777720775,1.0002063555544154
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,645.5440167244285,1.291088033448857
9,human + LLM (uniform),True,409.46082425344997,0.8189216485069
10,human only,True,514.9137614223711,1.0298275228447422
11,LLM only,True,0.0,0.0
12,human + LLM (confidence),True,595.3740184874391,1.1907480369748782
13,human + LLM (uniform),True,502.63757504402855,1.005275150088057
14,human only,True,573.8383442555613,1.1476766885111227
15,LLM only,True,0.0,0.0
16,human + LLM (confidence),True,609.5999256877889,1.2191998513755777
17,human + LLM (uniform),True,416.29008397528946,0.8325801679505789
18,human only,True,534.3499329810116,1.0686998659620233
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,644.0192700123773,1.2880385400247547
21,human + LLM (uniform),True,405.3995242199246,0.8107990484398492
22,human only,True,482.6573360710752,0.9653146721421504
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,637.3937065928858,1.2747874131857715
25,human + LLM (uniform),True,425.8036428526499,0.8516072857052998
26,human only,True,463.26061590197276,0.9265212318039455
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,643.0770196607889,1.2861540393215778
29,human + LLM (uniform),True,497.20822436066044,0.9944164487213208
30,human only,True,497.4627421707079,0.9949254843414158
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,666.7401243161554,1.3334802486323107
33,human + LLM (uniform),True,359.7066790994164,0.7194133581988328
34,human only,True,476.43092350042065,0.9528618470008413
35,LLM only,False,0.0,0.0
36,human + LLM (confidence),True,608.1868041720172,1.2163736083440344
37,human + LLM (uniform),True,422.6585966376703,0.8453171932753406
38,human only,True,504.5004013772009,1.0090008027544017
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,652.8688628510877,1.3057377257021754
41,human + LLM (uniform),True,543.2175482405422,1.0864350964810845
42,human only,True,538.1545079975481,1.076309015995096
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,726.9240259042141,1.4538480518084282
45,human + LLM (uniform),True,444.6326563689602,0.8892653127379204
46,human only,True,499.0034696348354,0.9980069392696709
47,LLM only,False,0.0,0.0
48,human + LLM (confidence),True,654.6658840432383,1.3093317680864767
49,human + LLM (uniform),False,436.8588332567807,0.8737176665135614
