,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,444.30239711092395,0.8886047942218479
1,human + LLM (uniform),True,780.362420624031,1.5607248412480619
2,human only,True,491.5292592308945,0.983058518461789
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,604.7194799700127,1.2094389599400253
5,human + LLM (uniform),True,607.9149849574048,1.2158299699148096
6,human only,True,561.6469481253866,1.1232938962507732
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,653.7968755116977,1.3075937510233955
9,human + LLM (uniform),True,537.9719366520837,1.0759438733041675
10,human only,True,540.9973462164461,1.0819946924328923
11,LLM only,False,0.0,0.0
12,human + LLM (confidence),False,514.0441292665746,1.0280882585331492
13,human + LLM (uniform),True,413.77374097803283,0.8275474819560656
14,human only,True,519.655152085104,1.0393103041702079
15,LLM only,False,0.0,0.0
16,human + LLM (confidence),True,787.9661476702552,1.5759322953405104
17,human + LLM (uniform),True,436.31265663528865,0.8726253132705772
18,human only,True,526.0615218106662,1.0521230436213325
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,613.7286623636209,1.2274573247272418
21,human + LLM (uniform),True,730.0071465687599,1.46001429313752
22,human only,True,618.4380854958729,1.2368761709917457
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,642.8133764929328,1.2856267529858656
25,human + LLM (uniform),True,584.8374189171119,1.1696748378342239
26,human only,False,387.4578881226164,0.7749157762452328
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,669.6767682430967,1.3393535364861935
29,human + LLM (uniform),True,740.1559789775479,1.4803119579550958
30,human only,False,470.42840856410345,0.9408568171282069
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,890.1696409011719,1.7803392818023438
33,human + LLM (uniform),False,761.7799487180049,1.5235598974360098
34,human only,True,443.37778390622526,0.8867555678124506
35,LLM only,False,0.0,0.0
36,human + LLM (confidence),True,838.0398405769606,1.6760796811539211
37,human + LLM (uniform),True,588.1154633301333,1.1762309266602664
38,human only,True,530.0544902521591,1.0601089805043182
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,629.1282077470605,1.258256415494121
41,human + LLM (uniform),True,623.7142317228836,1.2474284634457673
42,human only,True,416.0457656324526,0.8320915312649052
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,619.4331329272653,1.2388662658545306
45,human + LLM (uniform),True,399.54425191843245,0.7990885038368649
46,human only,True,523.4531928515947,1.0469063857031895
47,LLM only,False,0.0,0.0
48,human + LLM (confidence),True,586.9616132739166,1.1739232265478332
49,human + LLM (uniform),True,705.7949548989304,1.4115899097978608
50,human only,True,486.37431697641006,0.9727486339528201
51,LLM only,False,0.0,0.0
52,human + LLM (confidence),True,720.7627698730275,1.4415255397460551
53,human + LLM (uniform),True,589.0999667270313,1.1781999334540627
54,human only,True,466.82019352828934,0.9336403870565787
55,LLM only,False,0.0,0.0
56,human + LLM (confidence),True,515.2897599991801,1.0305795199983603
57,human + LLM (uniform),True,523.2566943947656,1.0465133887895313
58,human only,True,515.3614738561771,1.0307229477123543
59,LLM only,False,0.0,0.0
60,human + LLM (confidence),True,835.7822392426763,1.6715644784853525
61,human + LLM (uniform),True,524.8901976287094,1.0497803952574187
62,human only,True,451.21436598899004,0.9024287319779801
63,LLM only,False,0.0,0.0
64,human + LLM (confidence),True,780.3462774686898,1.5606925549373796
65,human + LLM (uniform),True,607.6932127293464,1.2153864254586928
66,human only,True,487.9082152755447,0.9758164305510895
67,LLM only,False,0.0,0.0
68,human + LLM (confidence),True,728.1291738644402,1.4562583477288804
69,human + LLM (uniform),True,478.20198216941316,0.9564039643388264
70,human only,True,548.9780635913531,1.0979561271827063
71,LLM only,False,0.0,0.0
72,human + LLM (confidence),True,667.7424301323617,1.3354848602647236
73,human + LLM (uniform),True,591.8017010316167,1.1836034020632336
74,human only,True,529.5047785062327,1.0590095570124654
75,LLM only,False,0.0,0.0
76,human + LLM (confidence),True,498.7510776554817,0.9975021553109634
77,human + LLM (uniform),True,575.0127350106494,1.1500254700212988
78,human only,False,328.63714862411376,0.6572742972482275
79,LLM only,False,0.0,0.0
80,human + LLM (confidence),True,589.9548072737853,1.1799096145475705
81,human + LLM (uniform),True,569.874172463544,1.139748344927088
82,human only,False,517.6728923554741,1.0353457847109482
83,LLM only,False,0.0,0.0
84,human + LLM (confidence),True,714.4764981369519,1.4289529962739038
85,human + LLM (uniform),True,720.9769412532283,1.4419538825064566
86,human only,True,494.6616966636107,0.9893233933272214
87,LLM only,False,0.0,0.0
88,human + LLM (confidence),False,820.7655283182332,1.6415310566364665
89,human + LLM (uniform),True,530.0623890036661,1.0601247780073322
90,human only,True,511.70469047777107,1.0234093809555422
91,LLM only,False,0.0,0.0
92,human + LLM (confidence),True,900.2148457105985,1.800429691421197
93,human + LLM (uniform),True,391.26511049346163,0.7825302209869233
94,human only,True,486.29514317585176,0.9725902863517035
95,LLM only,False,0.0,0.0
96,human + LLM (confidence),True,697.585636140881,1.395171272281762
97,human + LLM (uniform),True,616.233188088045,1.2324663761760901
98,human only,True,451.0590474841469,0.9021180949682938
99,LLM only,False,0.0,0.0
100,human + LLM (confidence),False,602.3369856322508,1.2046739712645016
101,human + LLM (uniform),True,543.627710119284,1.087255420238568
102,human only,True,540.6514486694391,1.0813028973388783
103,LLM only,False,0.0,0.0
104,human + LLM (confidence),True,548.0994014901834,1.0961988029803666
105,human + LLM (uniform),True,599.2166845025673,1.1984333690051345
106,human only,True,470.526560084044,0.941053120168088
107,LLM only,False,0.0,0.0
