,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,566.6650497174987,1.1333300994349975
1,human + LLM (uniform),True,426.94560117022945,0.8538912023404589
2,human only,True,448.4066728186158,0.8968133456372316
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,600.9389992062161,1.2018779984124321
5,human + LLM (uniform),True,518.5743770631088,1.0371487541262177
6,human only,True,518.5792751219715,1.0371585502439429
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,555.4515427093917,1.1109030854187834
9,human + LLM (uniform),True,549.9402372064686,1.0998804744129373
10,human only,True,457.23871496596064,0.9144774299319213
11,LLM only,False,0.0,0.0
12,human + LLM (confidence),True,681.6862309494607,1.3633724618989214
13,human + LLM (uniform),False,555.5167805955168,1.1110335611910336
14,human only,True,574.9737082101315,1.149947416420263
15,LLM only,False,0.0,0.0
16,human + LLM (confidence),True,731.5351350532196,1.4630702701064393
17,human + LLM (uniform),True,308.80543235503774,0.6176108647100754
18,human only,True,575.0806216778786,1.1501612433557573
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,590.2757453388176,1.1805514906776353
21,human + LLM (uniform),True,500.6051406040059,1.0012102812080117
22,human only,True,457.6750713478977,0.9153501426957954
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,695.2658867588648,1.3905317735177296
25,human + LLM (uniform),True,532.046055354632,1.064092110709264
26,human only,True,472.92239763798125,0.9458447952759625
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,581.8059127137541,1.163611825427508
29,human + LLM (uniform),True,364.14188912946935,0.7282837782589386
30,human only,False,423.0675834605213,0.8461351669210426
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,650.9491238213351,1.3018982476426701
33,human + LLM (uniform),True,526.1847764338823,1.0523695528677648
34,human only,True,428.7536665855069,0.8575073331710138
35,LLM only,False,0.0,0.0
36,human + LLM (confidence),True,606.9679419326482,1.2139358838652963
37,human + LLM (uniform),True,467.5364568840124,0.9350729137680248
38,human only,True,561.2659351038458,1.1225318702076916
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,530.5374558942556,1.0610749117885112
41,human + LLM (uniform),False,215.26154311849433,0.43052308623698865
42,human only,True,552.5512946340151,1.1051025892680302
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),True,525.8392221139388,1.0516784442278777
45,human + LLM (uniform),True,423.3345616224575,0.846669123244915
46,human only,True,511.8458475573786,1.0236916951147572
47,LLM only,False,0.0,0.0
48,human + LLM (confidence),True,483.87011618230656,0.9677402323646132
49,human + LLM (uniform),False,282.3961587550257,0.5647923175100513
50,human only,True,496.924564424002,0.993849128848004
51,LLM only,False,0.0,0.0
52,human + LLM (confidence),True,579.2537895095052,1.1585075790190102
53,human + LLM (uniform),True,498.07625659227267,0.9961525131845453
54,human only,True,511.14195969419006,1.0222839193883801
55,LLM only,False,0.0,0.0
56,human + LLM (confidence),True,541.9480667027207,1.0838961334054413
57,human + LLM (uniform),True,361.47095655262535,0.7229419131052507
58,human only,True,468.910029330559,0.937820058661118
59,LLM only,False,0.0,0.0
60,human + LLM (confidence),True,717.0428221914698,1.4340856443829395
61,human + LLM (uniform),True,358.68636517503074,0.7173727303500614
62,human only,True,455.8463558212898,0.9116927116425796
63,LLM only,False,0.0,0.0
64,human + LLM (confidence),True,637.560065961962,1.275120131923924
65,human + LLM (uniform),True,611.4517580859613,1.2229035161719226
66,human only,True,516.661242003519,1.0333224840070379
67,LLM only,False,0.0,0.0
68,human + LLM (confidence),True,689.7633606466082,1.3795267212932165
69,human + LLM (uniform),True,483.6538239333817,0.9673076478667635
70,human only,True,488.4361641554566,0.9768723283109132
71,LLM only,False,0.0,0.0
72,human + LLM (confidence),True,554.4084454235391,1.1088168908470781
73,human + LLM (uniform),True,418.33037502334605,0.836660750046692
